mean_test_score,std_test_score,rank_test_score,lgbm__bagging_fraction,lgbm__bagging_freq,lgbm__feature_fraction,lgbm__learning_rate,lgbm__max_depth,lgbm__min_child_samples,lgbm__n_estimators,lgbm__num_leaves,lgbm__verbose,pca__n_components
0.9351584127207804,0.006804806074960141,160,0.8,5,1.0,0.2,20,5,150,50,-1,10
0.9351514083839378,0.005950586926317095,161,0.8,10,0.8,0.1,10,10,150,50,-1,10
0.9351444264674067,0.005245148542832103,162,0.8,10,0.8,0.1,-1,10,150,31,-1,10
0.9350044406843813,0.006429869569164533,163,0.8,10,1.0,0.2,-1,10,200,50,-1,10
0.9349549086115981,0.0048252629501626025,164,0.8,10,1.0,0.1,10,10,150,80,-1,10
0.9349086629968992,0.001677586470691286,165,0.8,10,1.0,0.2,10,10,150,31,-1,10
0.9348980004663427,0.005517958176454011,166,0.8,10,1.0,0.2,20,10,200,31,-1,10
0.9348201018574847,0.006946745710319247,167,0.8,10,0.8,0.1,-1,10,150,50,-1,10
0.9348112310819555,0.008259564082263962,168,1.0,5,0.8,0.2,20,5,150,50,-1,10
0.9347937830097012,0.006669045577302612,169,0.8,10,0.8,0.1,20,10,150,50,-1,10
0.93479188256154,0.007335207889166391,170,0.8,5,1.0,0.2,20,5,200,80,-1,10
0.9347733034136889,0.007246488613446989,171,0.8,5,1.0,0.2,-1,5,200,31,-1,10
0.934682243076708,0.008405157260528151,172,0.8,5,1.0,0.1,20,10,150,80,-1,10
0.93464669250254,0.0057030433043757075,173,0.8,5,1.0,0.2,10,10,150,50,-1,10
0.9346236780089383,0.00740437240346613,174,0.8,10,1.0,0.2,20,10,150,80,-1,10
0.9346049747062228,0.005673859314308396,175,0.8,5,1.0,0.2,10,10,150,80,-1,10
0.9345230325756078,0.0073789523243699634,176,1.0,5,0.8,0.2,-1,5,150,80,-1,10
0.9345047648101371,0.006893824002901378,177,0.8,5,1.0,0.1,20,10,150,31,-1,10
0.9344795303739499,0.006997632829775536,178,0.8,5,1.0,0.1,-1,10,150,80,-1,10
0.934332625772217,0.0047978200582187045,179,1.0,10,0.8,0.2,20,5,150,31,-1,10
0.9342384734063588,0.008764668556402426,180,0.8,5,1.0,0.2,-1,5,150,31,-1,10
0.9342001432913761,0.005565203142130326,181,0.8,5,1.0,0.1,10,5,150,80,-1,10
0.9341693391280177,0.007083197794519387,182,0.8,5,0.8,0.2,10,10,150,50,-1,20
0.934126836356239,0.006861044674414668,183,1.0,10,0.8,0.2,-1,5,200,50,-1,10
0.9341201546343274,0.0068138781895189186,184,0.8,10,1.0,0.2,10,10,200,31,-1,10
0.9341201546343274,0.0068138781895189186,184,0.8,10,1.0,0.2,10,10,200,50,-1,10
0.9340755574347973,0.007083925348814718,186,0.8,5,0.8,0.1,10,5,150,80,-1,10
0.9340213701808917,0.009070989173711436,187,1.0,10,0.8,0.2,10,10,200,80,-1,10
0.9339313539307674,0.007202137810720522,188,1.0,10,0.8,0.2,-1,5,200,80,-1,10
0.9339290489840242,0.006296905343467862,189,1.0,5,1.0,0.1,20,10,200,50,-1,20
0.9337540004256205,0.007783996128370768,190,0.8,10,0.8,0.1,-1,10,150,80,-1,10
0.9336872288136358,0.0070248099618593525,191,1.0,5,1.0,0.1,20,10,200,31,-1,20
0.9336745776707481,0.00560749864057726,192,0.8,5,1.0,0.1,10,10,150,50,-1,10
0.9336097633097531,0.008237139136233043,193,1.0,10,0.8,0.2,20,5,150,50,-1,10
0.9335902970784936,0.006176968485398434,194,0.8,5,0.8,0.2,10,10,150,31,-1,20
0.9335902970784936,0.006176968485398434,194,0.8,5,0.8,0.2,10,10,150,80,-1,20
0.9335399148994391,0.006651231271686717,196,0.8,5,1.0,0.2,20,5,150,80,-1,10
0.9335344890571647,0.006819593744609786,197,0.8,5,0.8,0.1,10,5,150,31,-1,10
0.9335344890571647,0.006819593744609786,197,0.8,5,1.0,0.2,-1,5,200,50,-1,10
0.933367696437549,0.007452984700674467,199,0.8,5,0.8,0.2,-1,10,150,31,-1,20
0.9331767116238007,0.006121409020980399,200,0.8,5,0.8,0.2,-1,10,200,31,-1,10
0.9331444460906153,0.008069537381687331,201,0.8,5,1.0,0.2,20,5,200,31,-1,10
0.9330230153730422,0.00723920897717039,202,1.0,10,0.8,0.2,10,10,200,50,-1,10
0.932842400208008,0.006277216896258232,203,0.8,5,1.0,0.2,10,10,200,31,-1,10
0.9328410251071547,0.007154606008221359,204,1.0,5,0.8,0.2,10,10,200,31,-1,10
0.9327360229915911,0.006623055875564083,205,0.8,5,0.8,0.2,-1,10,150,50,-1,20
0.9325689404022308,0.005861528011298208,206,1.0,10,0.8,0.2,20,5,150,80,-1,10
0.9324663891324247,0.0047205032300314765,207,0.8,5,1.0,0.1,20,10,150,50,-1,10
0.9324638890936392,0.007378663058765863,208,1.0,5,0.8,0.2,20,5,200,80,-1,10
0.9324638890936392,0.007378663058765863,208,1.0,5,0.8,0.2,20,5,200,31,-1,10
0.9323187464664823,0.006010545390999784,210,1.0,5,1.0,0.1,20,10,200,80,-1,20
0.9321599059481878,0.006178079313092837,211,0.8,5,1.0,0.2,10,10,150,31,-1,10
0.9321599059481878,0.006178079313092837,211,0.8,5,0.8,0.2,20,10,200,31,-1,10
0.930963444801667,0.006637413048949146,213,0.8,10,0.8,0.1,10,10,150,80,-1,10
